"","HDIM","Checked","Plot","Date","Collector","Method","Plant","BeatingDuration","TimeBegin","TimeEnd","DateEnd","CanopyMalaiseHeight..ft.","PitFallSlice","Whereabouts","SamplingRound","NoOfVials","Comments","X"
"719",5782,NA,"flow1973_110","1/14/2015","C. Ewing, T. Fezza","ground malaise","","","","","","","","UHH",1,"","",""
"720",5783,NA,"flow1973_110","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"721",5784,NA,"flow1973_110","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"722",5785,NA,"flow1973_110","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"723",5786,NA,"flow1973_109","1/14/2015","C. Ewing, T. Fezza","ground malaise","","","","","","","","UHH",1,"","",""
"724",5787,NA,"flow1973_109","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"725",5788,NA,"flow1973_109","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"726",5789,NA,"flow1973_109","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"727",5790,NA,"flow1973_107","1/14/2015","C. Ewing, T. Fezza","ground malaise","","","","","","","","UHH",1,"","",""
"728",5791,NA,"flow1973_107","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"729",5792,NA,"flow1973_107","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"730",5793,NA,"flow1973_107","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"731",5794,NA,"flow1973_081","1/14/2015","C. Ewing, T. Fezza","ground malaise","","","","","","","","UHH",1,"","",""
"732",5795,NA,"flow1973_081","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"733",5796,NA,"flow1973_081","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"734",5797,NA,"flow1973_081","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"735",5798,NA,"flow1973_079","1/14/2015","C. Ewing, T. Fezza","ground malaise","","","","","","","","UHH",1,"","",""
"736",5799,NA,"flow1973_079","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"737",5800,NA,"flow1973_079","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"738",5801,NA,"flow1973_079","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"739",5802,NA,"flow1973_084","1/14/2015","C. Ewing, T. Fezza","ground malaise","","","","","","","","UHH",1,"","",""
"740",5803,NA,"flow1973_084","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"741",5804,NA,"flow1973_084","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"742",5805,NA,"flow1973_084","1/14/2015","C. Ewing, T. Fezza","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"743",5806,1,"escape_02","1/25/2015","C. Ewing","beating","green Dicranopteris linearis","60","7:45 AM","9:00 AM","","","","Wellman 220",1,"2","Checked by Savannah K. Miller ",""
"744",5807,1,"escape_02","1/25/2015","C. Ewing","beating","Metrosideros polymorpha","30","9:30 AM","10:10 AM","","","","Wellman 220",1,"2","Checked by Savannah K. Miller ",""
"745",5808,1,"escape_02","1/25/2015","T. Fezza","beating","brown Dicranopteris linearis","120","7:45 AM","10:00 AM","","","","Wellman 220",1,"2","Checked by Savannah K. Miller ",""
"746",5809,1,"escape_02","1/25/2015","B. Cote","beating","green Dicranopteris linearis","60","7:45 AM","10:00 AM","","","","Wellman 220",1,"2","Checked by Savannah K. Miller ",""
"747",5810,1,"escape_02","1/25/2015","C. Ewing","beating","green Dicranopteris linearis","60","10:15 AM","11:30 AM","","","","Wellman 220 ",1,"2","Checked by Savannah K. Miller ",""
"748",5811,1,"escape_02","1/25/2015","T. Fezza","beating","green Dicranopteris linearis","60","10:15 AM","11:30 AM","","","","Wellman 220 ",1,"2","Checked by Savannah K. Miller ",""
"749",5812,1,"escape_02","1/25/2015","B. Cote","beating","green Dicranopteris linearis","30","10:15","11:30","","","","Wellman 220",1,"2","Checked by Savannah K. Miller ",""
"750",5813,1,"escape_90","1/19/2015","C. Ewing, T. Fezza","InsectaZooka","","","","","","","A","Wellman 220",1,"1","Checked by Savannah K. Miller ",""
"751",5814,1,"escape_90","1/19/2015","C. Ewing, T. Fezza","InsectaZooka","","","","","","","C","Wellman 220",1,"1","Checked by Savannah K. Miller ",""
"752",5815,1,"escape_90","1/19/2015","C. Ewing, T. Fezza","InsectaZooka","","","","","","","E","Wellman 220",1,"1","Checked by Savannah K. Miller ",""
"753",5820,1,"thurston_12","1/28/2015","A. Rominger","beating","brown Cibotium","30","01:30","02:35","","","","Wellman 220",1,"3","Checked; lost: 1 salticid-Havaika",""
"754",5821,1,"thurston_12","1/29/2015","T. Fezza","beating","brown Cibotium","20","01:45","02:25","","","","Wellman 220",1,"1","Checked; lost: 2 Oliarus-small light brown hyaline wings; 1 juv Laupala",""
"755",5822,1,"thurston_12","1/29/2015","C. Ewing","beating","brown Cibotium","10","2:00 AM","2:30 AM","","","","Wellman 220",1,"2","Checked; lost:2 juv Laupala; 1 ""large"" dark psyllid same lost 5755;1 dark adult Laupala",""
"756",5825,NA,"treePlanting_01","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","ground malaise","","","","","","","","UHH",1,"","",""
"757",5826,NA,"treePlanting_01","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"","",""
"758",5827,NA,"treePlanting_01","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"","",""
"759",5828,NA,"treePlanting_01","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"","",""
"760",5829,NA,"treePlanting_03","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","ground malaise","","","","","","","","UHH",1,"","",""
"761",5830,NA,"treePlanting_03","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"","",""
"762",5831,NA,"treePlanting_03","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"","",""
"763",5832,NA,"treePlanting_03","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"","",""
"764",5833,NA,"treePlanting_05","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","ground malaise","","","","","","","","UHH",1,"","",""
"765",5834,NA,"treePlanting_05","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"","",""
"766",5835,NA,"treePlanting_05","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"","",""
"767",5836,NA,"treePlanting_05","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"","",""
"768",5837,NA,"treePlanting_06","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","ground malaise","","","","","","","","UHH",1,"","",""
"769",5838,NA,"treePlanting_06","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"","",""
"770",5839,NA,"treePlanting_06","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"","",""
"771",5840,NA,"treePlanting_06","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"","",""
"772",5841,NA,"treePlanting_04","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","ground malaise","","","","","","","","UHH",1,"","",""
"773",5842,NA,"treePlanting_04","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"","",""
"774",5843,NA,"treePlanting_04","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"","",""
"775",5844,NA,"treePlanting_04","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"","",""
"776",5845,NA,"treePlanting_02","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","ground malaise","","","","","","","","UHH",1,"","",""
"777",5846,NA,"treePlanting_02","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"","",""
"778",5847,NA,"treePlanting_02","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"","",""
"779",5848,NA,"treePlanting_02","1/29/2015","T. Fezza, A. Rominger, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"","",""
"780",5849,NA,"flow1973_110","1/30/2015","C. Ewing","beating","Dubautia ciliolata","60","07:30","08:05","","","","UHH",1,"","lost: 1 lg brown psocop-gray/blk mottled; 1 froghopper adult; sm (head to tip of abdominal sclerite ~5mm) dark shining black adult cricket",""
"781",5850,NA,"flow1973_110","1/30/2015","T. Fezza","beating","","60","07:30","08:05","","","","UHH",1,"","lost: 1 lg brown psocop-gray/blk mottled; 1 froghopper adult; sm (head to tip of abdominal sclerite ~5mm) dark shining black adult cricket",""
"782",5851,NA,"flow1973_110","1/30/2015","B. Cote","beating","Styphelia tameiameiae","60","07:30","08:45","","","","UHH",1,"","",""
"783",5852,NA,"flow1973_110","1/30/2015","T. Fezza","beating","Nephrolepis cordifolia","30","08:15","08:45","","","","UHH",1,"","",""
"784",5853,NA,"flow1973_110","1/30/2015","C. Ewing","beating","Coprosma ernodeoides","30","08:15","08:45","","","","UHH",1,"","",""
"785",5854,NA,"flow1973_110","1/30/2015","C. Ewing","beating","Metrosideros polymorpha","60","09:00","09:40","","","","UHH",1,"","lost: on elarge uniformally yellow psyllid-one was also caught, not the small common one with dark anterior end",""
"786",5855,NA,"flow1973_110","1/30/2015","T. Fezza","beating","Metrosideros polymorpha","60","09:00","10:00","","","","UHH",1,"","lost: 10 mixed psyllidae; 4 lg gray mottled psocops",""
"787",5856,NA,"flow1973_110","1/30/2015","B. Cote","beating","Metrosideros polymorpha","60","09:00","10:15","","","","UHH",1,"","lost a strange pinkish thing....Britt didn't know what it was, sketch in field norebook",""
"788",5857,NA,"flow1973_109","1/30/2015","T. Fezza","beating","","60","10:45","11:25","","","","UHH",1,"","lost: 14 Lygaeidae; 37 large dark mottled psocop",""
"789",5858,NA,"flow1973_109","1/30/2015","C. Ewing","beating","Dubautia ciliolata","60","10:45","11:25","","","","UHH",1,"","lost:1 large dark mottled psocop",""
"790",5859,NA,"flow1973_109","1/30/2015","B. Cote","beating","Styphelia tameiameiae","60","10:45","11:30","","","","UHH",1,"","lost: ~10 large dark mottled psocops",""
"791",5860,NA,"flow1973_109","1/30/2015","C. Ewing","beating","Coprosma ernodeoides","30","11:45","11:55","","","","UHH",1,"","",""
"792",5861,NA,"flow1973_109","1/30/2015","T. Fezza","beating","Nephrolepis cordifolia","30","11:45","11:55","","","","UHH",1,"","",""
"793",5862,NA,"flow1973_109","1/30/2015","B. Cote","beating","Metrosideros polymorpha","60","11:45","01:00","","","","UHH",1,"","lost: 4 small blk psyllidae",""
"794",5863,NA,"flow1973_109","1/30/2015","T. Fezza","beating","Metrosideros polymorpha","60","12:10","12:55","","","","UHH",1,"","lost: 7 small blk psyllidae",""
"795",5864,NA,"flow1973_109","1/30/2015","C. Ewing","beating","Metrosideros polymorpha","60","12:10","12:40","","","","UHH",1,"","",""
"796",5891,NA,"hippnet_05","2/6/2015","A. Rominger, J.Y. Lim","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"797",5892,NA,"hippnet_05","2/6/2015","A. Rominger, J.Y. Lim","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"798",5893,NA,"hippnet_05","2/6/2015","A. Rominger, J.Y. Lim","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"799",5894,NA,"hippnet_08","2/6/2015","A. Rominger, J.Y. Lim","ground malaise","","","","","","","","Wellman 220",1,"","",""
"800",5897,NA,"hippnet_08","2/6/2015","A. Rominger, J.Y. Lim","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"801",5898,NA,"hippnet_08","2/6/2015","A. Rominger, J.Y. Lim","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"802",5899,NA,"hippnet_08","2/6/2015","A. Rominger, J.Y. Lim","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"803",5900,1,"laupLSAG_10","2/6/2015","A. Rominger, J.Y. Lim","ground malaise","","","","","","","","Wellman 220",1,"","duplication issue",""
"804",5900,NA,"laupLSAG_01","2/13/2015","CE AR JYL","Malaise ground","","","","","","","","",1,"","duplication issue source: curtis",""
"805",5903,NA,"laupLSAG_01","2/6/2015","A. Rominger, J.Y. Lim","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"806",5904,NA,"laupLSAG_01","2/6/2015","A. Rominger, J.Y. Lim","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"807",5905,NA,"laupLSAG_01","2/6/2015","A. Rominger, J.Y. Lim","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"808",5909,NA,"laupLSAG_07","2/10/2015","B. Cote, A. Rominger, T. Fezza","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"809",5910,NA,"laupLSAG_07","2/10/2015","B. Cote, A. Rominger, T. Fezza","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"810",5911,NA,"laupLSAG_07","2/10/2015","B. Cote, A. Rominger, T. Fezza","pitfall","","","","","","","F","Wellman 220",1,"1","duplication issue",""
"811",5911,NA,"Olaa_02","2/11/2015","Tom Fezza","beating-sheet","brown Cibotium","20","04:45","05:10","","","","",1,"","duplication issue source: curtis",""
"812",5915,NA,"hippnet_06","2/6/2015","B. Cote, T. Fezza, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"813",5916,NA,"hippnet_06","2/6/2015","B. Cote, T. Fezza, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"814",5917,NA,"hippnet_06","2/6/2015","B. Cote, T. Fezza, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"815",5920,1,"hippnet_13","2/6/2015","T. Fezza, A. Rominger, E. Armstrong","ground malaise","","","","","","","","Wellman 220",1,"","",""
"816",5921,NA,"hippnet_13","2/6/2015","T. Fezza, E. Armstrong, B. Cote","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"817",5922,NA,"hippnet_13","2/6/2015","T. Fezza, E. Armstrong, B. Cote","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"818",5923,NA,"hippnet_13","2/6/2015","T. Fezza, E. Armstrong, B. Cote","pitfall","","","","","","","F","Wellman 220",1,"1","duplication issue",""
"819",5923,NA,"1973_79","2/11/2015","AR TF","beating-sheet","VacciniumÂ¾reticulatum","60","08:45","10:15","","","","",1,"","duplication issue source: curtis",""
"820",5926,1,"hippnet_09","2/6/2015","T. Fezza, A. Rominger, E. Armstrong","ground malaise","","","","","","","","Wellman 220",1,"","",""
"821",5927,NA,"hippnet_09","2/6/2015","T. Fezza, B. Cote, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"822",5928,NA,"hippnet_09","2/6/2015","T. Fezza, B. Cote, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"823",5929,NA,"hippnet_09","2/6/2015","T. Fezza, B. Cote, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"824",5933,NA,"hippnet_11","2/6/2015","T. Fezza, B. Cote, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"825",5934,NA,"hippnet_11","2/6/2015","T. Fezza, B. Cote, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"826",5935,NA,"hippnet_11","2/6/2015","T. Fezza, B. Cote, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"827",5939,NA,"laupLSAG_04","2/6/2015","T. Fezza, B. Cote, E. Armstrong","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"828",5940,NA,"laupLSAG_04","2/6/2015","T. Fezza, B. Cote, E. Armstrong","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"829",5941,NA,"laupLSAG_04","2/6/2015","T. Fezza, B. Cote, E. Armstrong","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"830",6002,NA,"laupLSAG_10","2/10/2015","A. Rominger, B. Cote, T. Fezza","ground malaise","","","","","2/17/11","","","Wellman 220",1,"","",""
"831",6003,NA,"laupLSAG_10","2/10/2015","B. Cote, T. Fezza, A. Rominger","pitfall","","","","","2/17/11","","B","Wellman 220",1,"1","",""
"832",6004,NA,"laupLSAG_10","2/10/2015","B. Cote, T. Fezza, A. Rominger","pitfall","","","","","2/17/11","","D","Wellman 220",1,"1","",""
"833",6005,NA,"laupLSAG_10","2/10/2015","B. Cote, T. Fezza, A. Rominger","pitfall","","","","","2/17/11","","F","Wellman 220",1,"1","",""
"834",6008,1,"laupLSAG_10","2/10/2015","T. Fezza, A. Rominger, B. Cote","ground malaise","","","","","2/17/11","","","Wellman 220",1,"","duplication issue, already sorted",""
"835",6008,NA,"laupLSAG_12","2/17/2015","BC AR TF","Malaise ground","","","","","","","","",1,"","duplication issue source: curtis",""
"836",6009,NA,"laupLSAG_12","2/10/2015","B. Cote, T. Fezza, A. Rominger","pitfall","","","","","2/17/11","","B","Wellman 220",1,"1","",""
"837",6010,NA,"laupLSAG_12","2/10/2015","B. Cote, T. Fezza, A. Rominger","pitfall","","","","","2/17/11","","D","Wellman 220",1,"1","",""
"838",6011,NA,"laupLSAG_12","2/10/2015","B. Cote, T. Fezza, A. Rominger","pitfall","","","","","2/17/11","","F","Wellman 220",1,"1","",""
"839",6015,NA,"laupLSAG_15","2/17/2015","A. Rominger, T. Fezza, B. Cote","pitfall","","","","","","","B","Wellman 220",1,"1","",""
"840",6016,NA,"laupLSAG_15","2/17/2015","A. Rominger, T. Fezza, B. Cote","pitfall","","","","","","","D","Wellman 220",1,"1","",""
"841",6017,NA,"laupLSAG_15","2/17/2015","A. Rominger, T. Fezza, B. Cote","pitfall","","","","","","","F","Wellman 220",1,"1","",""
"842",6022,NA,"alili_05","2/20/2015","HV, CPE","pitfall","","","","","","","B","Wellman 220",1,"1","Entered by Monica, from shipped samples",""
"843",6023,NA,"alili_05","2/20/2015","JYL, CPE","pitfall","","","","","","","D","Wellman 220",1,"1","Entered by Monica, from shipped samples",""
"844",6024,NA,"alili_05","2/20/2015","HV, CPE","pitfall","","","","","","","F","Wellman 220",1,"1","Entered by Monica, from shipped samples",""
"845",6028,NA,"alili_01","2/20/2015","J. Y. Lim, C. Ewing","pitfall","","","","","","","B","Wellman 220",1,"1","Entered by Monica, from shipped samples",""
"846",6029,NA,"alili_01","2/20/2015","J. Y. Lim, C. Ewing","pitfall","","","","","","","D","Wellman 220",1,"1","Entered by Monica, from shipped samples",""
"847",6030,NA,"alili_01","2/20/2015","J. Y. Lim, C. Ewing","pitfall","","","","","","","F","Wellman 220",1,"1","Entered by Monica, from shipped samples",""
"848",6034,NA,"alili_06","2/20/2015","JYL, CPE","pitfall","","","","","","","B","Wellman 220",1,"1","Entered by Monica, from shipped samples",""
"849",6035,NA,"alili_06","2/20/2015","JYL, CPE","pitfall","","","","","","","D","Wellman 220",1,"1","Entered by Monica, from shipped samples",""
"850",6036,NA,"alili_06","2/20/2015","JYL, CPE","pitfall","","","","","","","F","Wellman 220",1,"1","Entered by Monica, from shipped samples",""
"851",6077,NA,"kaiholenaYng_08","3/6/2015","C. Ewing, H. Krehenwinkel","canopy malaise","","","","","","","up","originally Wellman 220- sent to UMD from HI",1,"","duplication issue",""
"852",6077,NA,"KaiholenaYng_10b","4/3/2015","C. Ewing","beating","green Cibotium","60","08:45","09:55","","","","Wellman 220",1,"1","duplication issue; Entered by Monica, from shipped samples",""
"853",6341,1,"laupLSAG_15","8/1/2015","C. Ewing, A. Rominger","canopy malaise","","","","","","","up","Wellman 220",2,"","",""
"854",6385,NA,"flow1973_084","8/10/2015","C. Ewing","beating","Vaccinium","112","07:50","08:30","","","","Wellman 220",2,"","duplication issue",""
"855",6385,NA,"flow1973_084","8/10/2015","L. Stevens","beating","Metrosideros polymorpha","132","07:35","08:40","","","","Wellman 220",2,"","duplication issue",""
"856",6451,1,"thurston_06","9/4/2015","CE, KS, AR","ground malaise","","","","","","","","Wellman 220",2,"1","duplication issue",""
"857",6451,1,"thurston_06","8/31/2015","CE, KS, AR","canopy malaise","","","","","","","down","Wellman 220",2,"1","duplication issue",""
"858",6513,1,"laupLSAG_01","9/2/2015","C. Ewing","Beating","Low Ferns","27","3:40","4:00","","","","Wellman 220",2,"","duplication issue",""
"859",6513,1,"thurston_06","9/7/2015","","leaf litter","","","","","","","A","Wellman 220",1,"1","duplication issue",""
"860",6657,NA,"laupLSAG_12","9/30/2015","B. Cote","beating","brown Cibotium","29","1:55","2:20","","","","Wellman 220",2,"","duplication issue",""
"861",6657,NA,"hippnet_11","9/9/2015","B. Cole, K. Shiroma, C. Ewing","ground malaise","","","","","","","","Wellman 220",2,"","duplication issue",""
"862",6786,NA,"kaiholenaYng_09","12/4/2015","M. Stark","leaf litter","","","","","","","C","Wellman 220",2,"1","duplication issue; Entered by Monica, from shipped samples",""
"863",6786,NA,"escape_02","11/30/2015","C. Ewing","leaf litter","","","","","","","C","Wellman 220",2,"1","duplication issue; Entered by Monica, from shipped samples",""
"864",8056,NA,"waikamoi_07","7/4/2015","C. Ewing","beating","ground cover","50","15:00","15:35","","","","Wellman 220",2,"1","",""
"865",8058,1,"waikamoi_07","7/4/2015","N. Graham","beating","Coprosma montana","52","15:15","16:27","","","","Wellman 220",2,"1","Removed 1 nabid for B. Mathat",""
"866",8060,1,"waikamoi_07","7/4/2015","A. Miller","beating","Coprosma montana","52","16:15","17:40","","","","Wellman 220",2,"1","",""
"867",9000,1,"kokee_11","8/18/2015","L. Villegas-Villeza","leaf litter","","","","","","","","Wellman 220",2,"","",""
"868",9001,1,"kokee_11","8/18/2015","B. Cote, L. Villegas-Villeza","leaf litter","","","","","","","","Wellman 220",2,"2","",""
"869",9004,1,"kokee_09","8/18/2015","L. Villegas-Villeza","leaf litter","","","","","","","","Wellman 220",2,"","",""
"870",80,NA,"laupLSAG_01","8/9/2015","","","","","","","","","","Hilgard 220",2,"","",""
"871",81,NA,"laupLSAG_01","8/9/2015","","","","","","","","","","Hilgard 220",2,"2","",""
"872",82,NA,"laupLSAG_10","8/9/2015","","","","","","","","","","Hilgard 220",2,"","",""
"873",83,NA,"laupLSAG_10","8/9/2015","","","","","","","","","","Hilgard 220",2,"","",""
"874",1620,1,"kokee_16","8/25/2015","B. Cote","beating","Metrosideros polymorpha","17","15:50","16:15","","","","Wellman 220",2,"","",""
"875",4000,NA,"Olaa_02","2/12/2015","Tom Fezza","beating-sheet","Cheirodendron trigynum","30","12:20","12:55","","","","",NA,"","",""
"876",4001,NA,"Olaa_02","2/12/2015","Tom Fezza","beating-sheet","Coprosma sp.","30","01:05","01:30","","","","",NA,"","",""
"877",4002,NA,"Olaa_02","2/12/2015","Andy Rominger","beating-sheet","Broussaisia arguta","60","02:20","01:20","","","","",NA,"","",""
"878",4003,NA,"Olaa_02","2/12/2015","Tom Fezza","beating-sheet","Perrottetia sandwicensis","30","01:45","02:15","","","","",NA,"","",""
"879",4004,NA,"Olaa_02","2/12/2015","Andy Rominger","beating-sheet","Melicope clusiifolia","30","01:45","02:30","","","","",NA,"","",""
"880",4005,NA,"Olaa_02","2/12/2015","Tom Fezza","beating-sheet","Ilex anomola","30","02:25","03:00","","","","",NA,"","",""
"881",4006,NA,"Olaa_02","2/12/2015","Andy Rominger","beating-sheet","Broussaisia arguta","30","02:45","03:15","","","","",NA,"","",""
"882",4007,NA,"Olaa_02","2/12/2015","Tom Fezza","beating-sheet","green Cibotium","60","03:15","04:15","","","","",NA,"","",""
"883",4008,NA,"Olaa_02","2/12/2015","Andy Rominger","beating-sheet","green Cibotium","60","03:30","04:35","","","","",NA,"","",""
"884",4009,NA,"Olaa_02","2/12/2015","Curtis Ewing","beating-sheet","brown Cibotium","20","04:20","04:45","","","","",NA,"","",""
"885",4010,NA,"Olaa_02","2/12/2015","Jun Ying Lim","beating-sheet","brown Cibotium","20","4:20","4:50","","","","",NA,"","",""
"886",4012,1,"Thurston_01","2/16/2015","Andy Rominger","beating-sheet","Coprosma ochracea","30","9:00","9:30","","","","Wellman 220",1,"1","Checked ",""
"887",4013,1,"Thurston_01","2/16/2015","Ellie Armstrong","beating-sheet","Ilex anomola","60","09:00","09:50","","","","Wellman 220",1,"1","Checked ",""
"888",4014,1,"Thurston_01","2/16/2015","Tom Fezza","beating-sheet","Cheirodendron trigynum","30","9:00","9:25","","","","Wellman 220",1,"1","Checked ",""
"889",4015,1,"Thurston_01","2/16/2015","Tom Fezza","beating-sheet","Myrsine lessertiana","90","09:40","10:50","","","","Wellman 220",1,"1","Checked ",""
"890",4016,1,"Thurston_01","2/16/2015","Andy Rominger","beating-sheet","Vaccinium calycinum","30","09:40","10:10","","","","Wellman 220",1,"2","Checked ",""
"891",4017,1,"Thurston_01","2/16/2015","Andy Rominger","beating-sheet","green Cibotium","60","10:25","11:15","","","","Wellman 220",1,"3","Checked ",""
"892",4018,1,"Thurston_01","2/16/2015","Ellie Armstrong","beating-sheet","green Cibotium","60","10:15","11:20","","","","Wellman 220",1,"2","Checked ",""
"893",4019,1,"Thurston_01","2/16/2015","Tom Fezza","beating-sheet","brown Cibotium","20","11:00","11:40","","","","Wellman 220",1,"2","Checked ",""
"894",4020,1,"Thurston_01","2/16/2015","Andy Rominger","beating-sheet","brown Cibotium","20","11:40","12:00","","","","Wellman 220",1,"2","Checked ",""
"895",4021,1,"Thurston_01","2/16/2015","Ellie Armstrong","beating-sheet","brown Cibotium","20","11:40","10:10","","","","Wellman 220",1,"2","Checked ",""
"896",4022,NA,"Thurston_05","2/16/2015","T. Fezza","beating-sheet","Myrsine lessertiana","30","01:05","01:30","","","","Wellman 220",1,"1","",""
"897",4023,NA,"Thurston_05","2/16/2015","Andy Rominger","beating-sheet","Myrsine lessertiana","60","01:05","01:45","","","","Wellman 220",1,"1","",""
"898",4024,NA,"Thurston_05","2/16/2015","Ellie Armstrong","beating-sheet","Ilex anomola","90","01:05","02:10","","","","Wellman 220",1,"1","",""
"899",4026,NA,"Thurston_05","2/16/2015","Andy Rominger","beating-sheet","Vaccinium calycinum","20","2:00","2:15","","","","Wellman 220",1,"1","",""
"900",4027,NA,"Thurston_05","2/16/2015","Tom Fezza","beating-sheet","Cheirodendron trigynum","20","2:05","2:20","","","","Wellman 220",1,"1","",""
"901",4028,NA,"Thurston_05","2/16/2015","Ellie Armstrong","beating-sheet","green Cibotium","60","02:20","03:55","","","","Wellman 220",1,"2","",""
"902",4029,NA,"Thurston_05","2/16/2015","Andy Rominger","beating-sheet","green Cibotium","60","02:30","04:00","","","","Wellman 220",1,"2","",""
"903",4030,NA,"Thurston_05","2/16/2015","T. Fezza","beating-sheet","brown Cibotium","60","2:35","4:30","","","","Wellman 220",1,"3","",""
"904",4025,NA,"Thurston_05","2/16/2015","T. Fezza","beating-sheet","Coprosma ochracea","20","1:40","2:00","","","","Wellman 220",1,"1","",""
